firstname,lastname,birthday,favorite_pet
Deborah,Campbell,2004-01-24,Dog
Danielle,Daugherty,1971-11-09,Rabbit
Joel,Doyle,1944-05-28,Goldfish
John,Baker,1989-10-12,Lizard
Richard,Eaton,1998-06-13,Turtle
Chelsea,Estrada,1977-04-12,Cat
Jim,Reed,1952-09-02,Parrot
Sandra,Pratt,1977-12-08,Dog
Dana,Baker,2001-01-21,Goldfish
Pamela,Spears,1992-02-05,Parrot
Jennifer,Mejia,1938-10-31,Dog
Bianca,Boyle,1938-12-01,Cat
Timothy,Gonzalez,1982-05-15,Rabbit
Maria,Olson,1963-08-03,Lizard
Nicole,Conley,2004-08-22,Rabbit
Richard,Cooper,2006-07-14,Dog
Monica,Sanchez,1966-08-26,Rabbit
Sandra,Parsons,2006-06-22,Cat
Brian,Scott,1966-02-03,Snake
John,Barnett,2005-09-30,Dog
Tamara,Levine,1964-10-14,Guinea Pig
Holly,Phillips,1938-05-06,Goldfish
Travis,Harris,1947-11-18,Hamster
James,Griffin,1948-04-21,Dog
Sean,Carter,1962-04-10,Cat
Tina,Horton,1966-12-05,Parrot
Edwin,Hill,1967-04-20,Cat
Rachel,Moore,1993-06-03,Guinea Pig
Christopher,Haley,1952-12-23,Snake
Lauren,Howell,1960-07-17,Cat
Sonya,Johnson,1941-09-01,Dog
Randy,Woods,1980-07-26,Goldfish
Theresa,Shields,1953-04-24,Lizard
Douglas,Velez,1934-08-23,Dog
Justin,Ray,1969-07-27,Hamster
Madison,Bryan,1970-08-10,Lizard
Nicholas,Velasquez,1959-11-17,Cat
Rebecca,Cole,1962-03-06,Hamster
Nicholas,Mills,1936-04-20,Cat
Manuel,Lynch,1982-08-21,Guinea Pig
Kim,Romero,1963-04-13,Goldfish
Jessica,Marsh,1973-06-09,Parrot
Andre,Wilson,1949-12-03,Goldfish
Victor,Bowen,1970-11-27,Rabbit
Erik,Cline,1979-05-07,Goldfish
Erika,Stark,1962-08-12,Turtle
Andrea,Murphy,2003-11-11,Cat
Matthew,Jackson,1957-10-04,Parrot
William,Odonnell,1990-04-21,Goldfish
Tonya,Gordon,1981-09-30,Rabbit
